,Brand,model,description,rating,no_of_reviews,price,category
62,rytras,not applicable,Women's Floral Printed Cotton Top,4.0,"1,425",469,clothing
63,ADDYVERO,not applicable,Women's Slim Fit Casual Trousers,4.1,"10,031",379,clothing
64,ANNI DESIGNER,not applicable,Women's Cotton Blend Straight Printed Kurta & Pant,3.6,"7,378",489,clothing
65,Jockey,not applicable,2503 Women's Super Combed Cotton Rich Three Quarter Sleeve Thermal Top with Stay Warm Technology,4.1,"5,055",599,clothing
66,CHKOKKO,not applicable,Women Round Neck Dry Regular Fit Gym Sports Printed T-Shirt,4.5,20,389,clothing
67,London Hills,not applicable,Women Sports Zipper Running Summer Track Suit for Women | Sports TrackSuit for Women,3.6,19,999,clothing
68,Facto Power,not applicable,"Women's Lightly Removable Padded, Wire Free Tube Bra, for Running, Athletics, Excercise, Gym Beige",3.1,9,104,clothing
69,KOTTY,not applicable,Women High Rise Cotton Lycra Solid Regular Fit Jeans,3.4,418,499,clothing
70,BLINKIN,not applicable,Gym wear Mesh Leggings Workout Pants with Side Pockets/Stretchable Tights/Highwaist Sports Fitness Yoga Track Pants for Women & Girls_2012,4.2,"4,424",399,clothing
71,SHAUN,not applicable,Women's Regular Fit Track Pants,4.0,"2,662",799,clothing
72,GoSriKi,not applicable,Women's Cotton Blend Solid Anarkali Kurta Set With Dupatta,3.7,454,679,clothing
73,Facto Power,not applicable,"Women's Lightly Removable Padded, Wire Free Seamless Sports Bra, for Running, Athletics, Excercise, (Free Size (Suitable Upto 32))",3.0,9,104,clothing
74,PALAY,not applicable,Woman Sun Protection Hoodie Jacket Lightweight UPE50+ Sun Blocking Coat with Pocket Long Sleeve Shirt Hiking Outdoor with Face Mask,4.1,6,924,clothing
75,ANNI DESIGNER,not applicable,Women's Co-Ord Set,5.0,8,469,clothing
76,OM SAI LATEST CREATION,not applicable,Women's Regular Knee Length Short Jumpsuit,3.5,"1,351",289,clothing
77,MEERA FAB,not applicable,Women's Cotton Printed Anarkali Kurta With Palazzo & Dupatta Set,3.9,"5,490",844,clothing
78,BLINKIN,not applicable,Women Slim Fit Polyester Blend Track Pants,4.2,869,379,clothing
79,CUPID,not applicable,"Regular Fit Printed Cotton Comfortable Plus Size Night Track Pant, Lower, Trouser, Joggers for Lounge Wear n Gym Wear for Girls",4.1,253,779.,clothing
80,GRECIILOOKS,not applicable,Women Rayon Coord Set,3.4,142,599,clothing
81,Jockey,not applicable,2520 Women's Super Combed Cotton Rich Thermal Leggings with Stay Warm Technology,4.3,"4,504",639,clothing
82,Generic,not applicable,Zicada Women's Top & Bottom Set Gym Wear | Jogging Wear | Sports Running Suits For womens,4.3,8,499,clothing
83,Pistaa's,not applicable,Women's Regular Fit Cotton Palazzo,3.7,526,549,clothing
84,KLOSIA,not applicable,Women Viscose Embroidered Kurti Pant and Dupatta Set,3.9,"1,677",599,clothing
85,Lymio,not applicable,Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt (D-Crush-16-23),3.8,636,379,clothing
86,Lymio,not applicable,Track Pant for Men || Track Pants || Plain Track Pant (Track-06-08),3.7,528,449,clothing
87,U-TURN,not applicable,Men's Cotton Solid Formal/Semi Formal Shirt,3.6,423,398,clothing
88,Lymio,not applicable,Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt (Rib-Shirt),4.0,279,479,clothing
89,LEOTUDE,not applicable,Men's Solid Half Sleeve with Regular Fit Knitted T-Shirt (Color Beige),3.3,23,289,clothing
90,DHRUVI TRENDZ,not applicable,Men's Regular Fit Shirt,3.4,"1,107",289,clothing
91,DENIMHOLIC,not applicable,Men's Cotton Turtle Neck Sweater,4.0,"5,422",899,clothing
92,Leriya Fashion,not applicable,Shirt for Men | Tropical Leaf Printed Rayon Shirts for Men | Preppy Short Sleeves | Spread Collared Neck | Perfect for Outing | Beach | Camp Wear Shirt for Boys,3.6,"1,429",289,clothing
93,Lymio,not applicable,Men T-Shirt || Regular Fit T-Shirt for Men || Plain T Shirt || T-Shirt (Polo-11-13),4.1,137,349,clothing
94,Lymio,not applicable,Men Pants,3.6,245,449,clothing
95,Lymio,not applicable,Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-05-08),4.2,468,699,clothing
96,NEVER LOSE,not applicable,Mens 2 Pack Polyester Yoga Short Men Summer Running Gym Sports Shorts with Pockets Shorts for Men,3.6,"1,022",719,clothing
97,Lymio,not applicable,Men's Trouser || Men's Regular Trouser || Men's Regular Fit Casual Trouser (Tro-05-08),3.8,202,699,clothing
98,Dennis Lingo,not applicable,"Men's Solid Slim Fit Casual Shirt, Full Sleeve Shirt for Casual Wear & Formal Wear (Also Available in Plus Size)",3.8,"13,879",554,clothing
99,LEOTUDE,not applicable,Regular Fit Half Sleeve Round Neck Dri-Fit Tshirt for Men's Combo (Pack of 3),4.0,45,499,clothing
100,CHKOKKO,not applicable,Men Round Neck Regular Dry Fit Gym Sports Slim Fit T-Shirt,3.9,"1,992",349,clothing
101,Allen Solly,not applicable,Men's Regular Fit Polo,4.1,"68,508",699,clothing
102,Unbeatable,not applicable,Polyester Spandex Men's Sports Running Set Compression Shirt + Pants Skin-Tight Long Sleeves Quick Dry Fitness Tracksuit Gym Yoga Suits,3.7,"1,439",499,clothing
103,London Hills,not applicable,Full Sleeve Polyester Full Zip with Pocket Solid Men's Sports Track Standard Length Jacket,4.0,140,419,clothing
104,Lymio,not applicable,Men Regular Fit T-Shirt || Regular Fit T-Shirt || Plain T Shirt || Regular Fit T-Shirt (Rib),3.6,"2,770",349,clothing
105,Alan Jones Clothing,not applicable,Men's Solid Slim Fit Polo T-Shirt,4.1,122,469,clothing
